race_id,stage_number,position,vehicle_number,driver_id,full_name,stage_points
5354,1,17,17,4406,Taylor Gray #,0
5354,1,18,88,694,Matt Crafton,0
5354,1,19,25,3916,Matt DiBenedetto,0
5354,1,20,41,4001,Ross Chastain(i),0
5354,1,21,45,4371,Lawless Alan,0
5354,1,22,46,4144,Brennan Poole(i),0
5354,1,23,04,2911,Johnny Sauter,0
5354,1,24,5,4414,Dean Thompson,0
5354,1,25,32,4373,Bret Holmes #,0
5354,1,26,43,4451,Daniel Dye #,0
5354,1,27,15,4342,Tanner Gray,0
5354,1,28,56,4298,Tyler Hill,0
5354,1,29,02,4364,Kris Wright,0
5354,1,30,1,4452,Toni Breidinger,0
5354,1,31,12,4192,Spencer Boyd,0
5354,1,32,22,4102,Josh Reaume,0
5354,1,33,90,4372,Justin Carroll,0
5354,1,34,20,4442,Nick Leitz,0
5354,1,35,33,4432,Mason Maggio,0
5354,1,36,47,4151,Tim Viens,0
5354,2,1,98,4235,Ty Majeski,10
5354,2,2,23,3978,Grant Enfinger,9
5354,2,3,11,4387,Corey Heim,8
5354,2,4,24,4422,Rajah Caruth #,7
5354,2,5,38,4272,Zane Smith,6
5354,2,6,19,4268,Christian Eckes,5
5354,2,7,16,4296,Tyler Ankrum,4
5354,2,8,4,4295,Chase Purdy,3
5354,2,9,52,4205,Stewart Friesen,2
5354,2,10,5,4414,Dean Thompson,1
5354,2,11,41,4001,Ross Chastain(i),0
5354,2,12,25,3916,Matt DiBenedetto,0
5354,2,13,35,4423,Jake Garcia #,0
5354,2,14,2,4416,Nick Sanchez #,0
5354,2,15,99,4107,Ben Rhodes,0
5354,2,16,42,4326,Carson Hocevar,0
5354,2,17,51,454,Kyle Busch(i),0
5354,2,18,88,694,Matt Crafton,0
5354,2,19,15,4342,Tanner Gray,0
5354,2,20,13,4366,Hailie Deegan,0
5354,2,21,43,4451,Daniel Dye #,0
5354,2,22,45,4371,Lawless Alan,0
5354,2,23,17,4406,Taylor Gray #,0
5354,2,24,46,4144,Brennan Poole(i),0
5354,2,25,1,4452,Toni Breidinger,0
5354,2,26,32,4373,Bret Holmes #,0
5354,2,27,04,2911,Johnny Sauter,0
5354,2,28,02,4364,Kris Wright,0
5354,2,29,56,4298,Tyler Hill,0
5354,2,30,33,4432,Mason Maggio,0
5354,2,31,12,4192,Spencer Boyd,0
5354,2,32,90,4372,Justin Carroll,0
5354,2,33,22,4102,Josh Reaume,0
5354,2,34,20,4442,Nick Leitz,0
5354,2,35,9,4344,Colby Howard,0
5354,2,36,47,4151,Tim Viens,0
5322,1,1,19,4368,Ty Gibbs(i),0
5322,1,2,20,4092,John Hunter Nemechek,9
5322,1,3,7,34,Justin Allgaier,8
5322,1,4,11,4093,Daniel Hemric,7
5322,1,5,2,4204,Sheldon Creed,6
5322,1,6,16,4312,Chandler Smith #,5
5322,1,7,21,4133,Austin Hill,4
5322,1,8,8,4123,Josh Berry,3
5322,1,9,00,4104,Cole Custer,2
5322,1,10,98,4269,Riley Herbst,1
5322,1,11,77,4326,Carson Hocevar(i),0
5322,1,12,9,4085,Brandon Jones,0
5322,1,13,1,4327,Sam Mayer,0
5322,1,14,18,4441,Sammy Smith #,0
5322,1,15,25,4038,Brett Moffitt,0
5322,1,16,10,4172,Justin Haley(i),0
5322,1,17,31,4419,Parker Retzlaff #,0
5322,1,18,48,3914,Parker Kligerman,0
5322,1,19,26,4191,Kaz Grala,0
5322,1,20,51,595,Jeremy Clements,0
5322,1,21,91,4187,Kyle Weatherman,0
5322,1,22,27,4018,Jeb Burton,0
5322,1,23,92,4106,Josh Williams,0
5322,1,24,44,4422,Rajah Caruth(i),0
5322,1,25,45,3894,Jeffrey Earnhardt,0
5322,1,26,24,4433,Connor Mosack,0
5322,1,27,39,3884,Ryan Sieg,0
5322,1,28,43,4029,Ryan Ellis,0
5322,1,29,28,4388,Kyle Sieg,0
5322,1,30,38,4313,Joe Graf Jr.,0
5322,1,31,35,4254,Patrick Emerling,0
5322,1,32,78,4301,Anthony Alfredo,0
5322,1,33,02,4376,Blaine Perkins #,0
5322,1,34,74,4256,Dawson Cram,0
