race_id,race_name,sch_laps,act_laps,driver_id,start_ps,mid_ps,ps,closing_ps,closing_laps_diff,best_ps,worst_ps,avg_ps,passes_gf,passing_diff,passed_gf,quality_passes,fast_laps,top15_laps,lead_laps,laps,rating
5150,Folds of Honor QuikTrip 500,325,325,4172,22,8,11,17,6,1,35,14.97,255,-2,257,152,13,156,1,325,77.65
5150,Folds of Honor QuikTrip 500,325,325,1816,24,10,12,10,-2,3,36,18.49,209,11,198,145,9,174,0,325,64.63
5150,Folds of Honor QuikTrip 500,325,325,4025,19,15,13,2,-11,1,30,10.56,188,-20,208,122,6,220,3,325,87.3
5150,Folds of Honor QuikTrip 500,325,325,4059,23,3,14,5,-9,3,26,10.96,284,3,281,201,10,253,0,325,85.54
5150,Folds of Honor QuikTrip 500,325,325,4228,1,12,15,15,0,1,34,13.8,288,-8,296,195,17,214,5,325,78.38
5150,Folds of Honor QuikTrip 500,325,325,4213,36,22,16,19,3,9,36,22.38,105,-15,120,8,4,29,0,325,57.61
5150,Folds of Honor QuikTrip 500,325,325,4023,2,4,17,3,-14,1,36,8.11,245,12,233,183,10,266,15,325,105.44
5150,Folds of Honor QuikTrip 500,325,325,2674,35,19,18,22,4,13,37,26.57,42,-50,92,3,11,5,0,325,42.44
5150,Folds of Honor QuikTrip 500,325,325,3973,34,20,19,23,4,1,37,25.39,74,0,74,0,8,8,2,325,50.23
5150,Folds of Honor QuikTrip 500,325,325,243,37,17,20,21,1,5,37,24.37,60,-21,81,6,9,18,0,325,51.13
5150,Folds of Honor QuikTrip 500,325,325,1416,8,2,21,24,3,1,33,18.24,128,-36,164,82,1,106,11,325,51.52
5150,Folds of Honor QuikTrip 500,325,325,40,10,6,22,4,-18,1,34,12.7,225,-8,233,120,9,196,6,325,67.94
5150,Folds of Honor QuikTrip 500,325,325,4153,27,7,23,9,-14,1,35,11.39,248,37,211,156,9,234,16,325,83.57
5150,Folds of Honor QuikTrip 500,325,325,3832,29,30,24,25,1,4,36,25.67,88,-29,117,12,7,18,0,321,49
5150,Folds of Honor QuikTrip 500,325,325,4217,31,26,25,26,1,13,36,25.69,101,3,98,0,4,4,0,321,39.62
5150,Folds of Honor QuikTrip 500,325,325,4125,32,23,26,20,-6,10,37,26.44,45,-42,87,1,6,2,0,300,41.28
5150,Folds of Honor QuikTrip 500,325,325,4231,25,31,27,27,0,9,36,28.45,76,-19,95,20,9,17,0,297,36.01
5150,Folds of Honor QuikTrip 500,325,325,4065,5,32,28,28,0,1,33,20.32,150,5,145,122,0,124,5,245,82.12
5150,Folds of Honor QuikTrip 500,325,325,1361,15,14,29,29,0,1,27,15.81,218,24,194,193,4,182,1,212,78.28
5150,Folds of Honor QuikTrip 500,325,325,4030,21,21,30,30,0,1,30,20.83,221,54,167,100,2,91,1,212,54.56
5150,Folds of Honor QuikTrip 500,325,325,3888,28,5,31,31,0,1,29,17.9,217,37,180,170,8,171,22,200,76.24
5150,Folds of Honor QuikTrip 500,325,325,4180,16,13,32,32,0,2,30,20.83,175,-12,187,135,2,138,0,200,60.06
5150,Folds of Honor QuikTrip 500,325,325,454,4,33,33,33,0,1,34,23.27,128,10,118,75,4,100,21,171,61.71
5150,Folds of Honor QuikTrip 500,325,325,4104,20,34,34,34,0,18,37,30.84,72,-19,91,0,2,0,0,150,30.47
5150,Folds of Honor QuikTrip 500,325,325,3873,17,35,35,35,0,1,23,27.88,101,11,90,78,2,77,0,101,49.1
5150,Folds of Honor QuikTrip 500,325,325,4013,18,36,36,36,0,16,36,33.47,41,-8,49,1,1,0,0,101,28.38
5150,Folds of Honor QuikTrip 500,325,325,4224,30,37,37,37,0,17,30,36.03,20,9,11,0,2,0,0,23,24.75
5151,EchoPark Automotive Grand Prix,68,69,4001,16,1,1,1,0,1,16,3.81,43,2,41,34,17,69,31,69,141.66
5151,EchoPark Automotive Grand Prix,68,69,4045,5,10,2,4,2,1,26,8.97,47,5,42,28,4,55,0,69,112.25
5151,EchoPark Automotive Grand Prix,68,69,4153,7,5,3,9,6,3,38,16.84,54,-36,90,22,0,41,0,69,90.5
5151,EchoPark Automotive Grand Prix,68,69,4062,12,9,4,5,1,3,25,10.66,58,16,42,39,0,55,0,69,97.67
5151,EchoPark Automotive Grand Prix,68,69,4065,4,3,5,3,-2,1,18,4.57,35,-21,56,24,0,67,2,69,115.5
5151,EchoPark Automotive Grand Prix,68,69,4023,1,4,6,7,1,1,28,8.59,63,29,34,28,4,58,1,69,107.92
5151,EchoPark Automotive Grand Prix,68,69,3368,17,8,7,8,1,6,26,13.13,46,-26,72,32,0,46,0,69,89
5151,EchoPark Automotive Grand Prix,68,69,4180,10,26,8,22,14,1,34,10.75,75,-20,95,29,8,52,11,69,117.56
5151,EchoPark Automotive Grand Prix,68,69,4059,30,11,9,10,1,8,38,20.3,52,-19,71,24,0,34,0,69,72.67
5151,EchoPark Automotive Grand Prix,68,69,3873,21,22,10,13,3,6,38,20.62,84,36,48,19,0,18,0,69,67
5151,EchoPark Automotive Grand Prix,68,69,1416,18,13,11,16,5,10,34,16.97,47,-34,81,23,0,39,0,69,77
5151,EchoPark Automotive Grand Prix,68,69,4184,24,27,12,14,2,5,33,16.01,84,27,57,16,0,34,0,69,83.5
5151,EchoPark Automotive Grand Prix,68,69,3832,27,21,13,11,-2,8,38,21.81,62,-12,74,15,0,18,0,69,56.5
5151,EchoPark Automotive Grand Prix,68,69,1816,26,30,14,23,9,14,38,27.63,111,45,66,5,0,4,0,69,52.17
5151,EchoPark Automotive Grand Prix,68,69,4172,9,14,15,15,0,6,36,16.08,79,16,63,22,0,37,0,69,80
5151,EchoPark Automotive Grand Prix,68,69,4231,29,19,16,25,9,16,37,25.65,71,4,67,0,0,0,0,69,52.83
5151,EchoPark Automotive Grand Prix,68,69,4217,19,24,17,24,7,7,31,21.71,104,33,71,8,0,10,0,69,62.83
5151,EchoPark Automotive Grand Prix,68,69,1361,8,17,18,32,14,1,35,12.88,68,10,58,22,0,47,3,69,85.71
5151,EchoPark Automotive Grand Prix,68,69,40,25,25,19,34,15,5,34,22.6,73,-16,89,3,0,8,0,69,57.83
5151,EchoPark Automotive Grand Prix,68,69,4013,33,32,20,27,7,11,35,26.33,85,13,72,3,0,2,0,69,45.5
5151,EchoPark Automotive Grand Prix,68,69,3989,22,16,21,19,-2,9,30,18.89,51,-42,93,17,0,15,0,69,65.67
5151,EchoPark Automotive Grand Prix,68,69,4213,34,28,22,28,6,13,36,28.34,96,42,54,1,0,2,0,69,43.5
5151,EchoPark Automotive Grand Prix,68,69,4104,3,7,23,29,6,3,35,12.5,50,-52,102,28,0,52,0,69,85.67
5151,EchoPark Automotive Grand Prix,68,69,4113,2,23,24,12,-12,1,39,19.79,56,-1,57,7,4,25,15,69,79.79
5151,EchoPark Automotive Grand Prix,68,69,4191,31,33,25,33,8,14,39,29.68,82,-21,103,1,0,1,0,69,39.83
5151,EchoPark Automotive Grand Prix,68,69,2883,37,36,26,30,4,26,39,34.39,50,-8,58,0,0,0,0,69,32.5
5151,EchoPark Automotive Grand Prix,68,69,4125,35,38,27,26,-1,23,39,33.33,58,8,50,0,0,0,0,69,35.17
5151,EchoPark Automotive Grand Prix,68,69,454,15,15,28,6,-22,2,31,11.33,61,-16,77,38,0,57,0,69,70.17
5151,EchoPark Automotive Grand Prix,68,69,4030,13,12,29,20,-9,5,38,17.72,85,11,74,29,2,38,0,69,72.21
