race_id,driver_id,Pos,No.,Name,Sponsor,Best Tm,Best Speed,In Lap,Laps,Diff
7,108,10,22,Amber Balcaen,Icon Toyota,24.262,129.833,37,37,1.158
7,192,11,23,Mason Mitchell,Karl Chevrolet/B-Bop’s/SPS Chevrolet,24.396,129.12,23,33,1.292
7,102,12,35,Greg Van Alst,CB Fabricating/Top Choice Fence Ford,24.535,128.388,36,38,1.431
7,124,13,17,Marco Andretti,Group 1001 Chevrolet,24.626,127.914,22,33,1.522
7,103,14,32,Christian Rose,West Virginia Department of Tourism Ford,24.691,127.577,22,23,1.587
7,180,15,11,Zachary Tinkle,Racing for Rescues/Fast Track Toyota,25.299,124.511,23,24,2.195
7,122,16,12,Ryan Roulette,Bellator Recruiting Academy/VFW Ford,25.657,122.774,12,13,2.553
7,181,17,39,D.L. Wilson,ETR/Heart O’ Texas Speedway Toyota,26.11,120.643,28,33,3.006
7,120,18,99,Michael Maples,Don Ray Petroleum LLC/Maples Motorsports Chevrolet,26.235,120.069,20,23,3.131
7,193,19,10,Christopher Tate,T-Top Manufacturing Toyota,26.282,119.854,13,13,3.178
7,107,20,3,Alex Clubb,Race Parts Liquidators/Drop the Hammer Auctions Ford,26.397,119.332,13,13,3.293
7,149,21,93,Cody Dennison,Timcast.com Chevrolet,26.82,117.45,10,12,3.716
7,187,22,6,Kevin Hinckle,KH Automotive Toyota,27.58,114.213,15,15,4.476
7,121,23,48,Brad Smith,Copraya.com Ford,27.698,113.727,2,3,4.594
7,148,24,98,Dale Shearer,Shearer Speed Toyota,27.774,113.415,5,11,4.67
7,194,25,86,Presley Sorah,Race Parts Liquidators/Drop the Hammer Auctions Ford,30.797,102.283,2,3,7.693
8,153,1,28,Connor Mosack,Chevrolet Performance Chevrolet,87.8,92.567,6,7,0
8,150,2,18,William Sawalich*,Starkey/Sound Gear Toyota,88.3,92.048,7,8,0.495
8,182,3,55,Brent Crews*,Mobil1 Toyota,88.5,91.886,8,9,0.651
8,132,4,4,Dale Quarterley,Van Dyk Recyclers Services/Motul Chevrolet,89.3,90.98,5,5,1.532
8,101,5,44,Thomas Annunziata*,Bayshore Mortage/Franklin Rd Apparel/Chipoys Ford,89.6,90.744,3,5,1.764
8,124,6,17,Marco Andretti*,Group 1001 Toyota,90,90.332,5,7,2.173
8,151,7,20,Gio Ruggiero*,First Auto Group Toyota,90.3,89.984,4,6,2.521
8,111,8,2,Andres Perez,Max Siegel Inc Chevrolet,90.6,89.728,6,8,2.779
8,195,9,30,Conor Daly*,Polkadot Ford,90.6,89.7,3,7,2.807
8,137,10,15,Kris Wright,FNB Corporation Toyota,91.1,89.26,5,7,3.254
8,114,11,6,Lavar Scott*,Max Siegel Inc Chevrolet,91.2,89.139,5,7,3.377
8,102,12,35,Greg Van Alst,CB Fabricating/Top Choice Fence Ford,92.5,87.874,5,7,4.69
8,170,13,10,Brad Perez,Sebetka Bail Bonds Toyota,93.2,87.255,5,6,5.346
8,197,14,95,Andrew Patterson*,Winsupply/SCS Gearbox Toyota,93.2,87.222,4,7,5.382
8,108,15,22,Amber Balcaen,ICON Toyota,93.4,87.047,9,10,5.569
8,136,16,25,Toni Breidinger,VMS Toyota,93.5,86.94,4,8,5.684
8,104,17,27,Tim Richmond,Immigration Law Center Toyota,94.6,85.898,8,10,6.818
8,103,18,32,Christian Rose,West Virginia Department of Tourism Ford,96.2,84.501,4,6,8.383
8,149,19,11,Cody Dennison*,Timcast.com Toyota,97.3,83.524,3,6,9.508
8,120,20,99,Michael Maples*,Don Ray Petroleum LLC/Maples Motorsports Chevrolet,112.6,72.169,5,8,24.821
8,184,21,12,Mike Basham,Fast Track Racing Toyota,117.4,69.215,2,4,29.627
9,150,1,18,William Sawalich*,Starkey/Sound Gear Toyota,16.675,94.453,61,63,0
9,200,2,55,Gavan Boschele*,JBL Toyota,16.908,93.151,44,47,0.233
9,137,3,15,Kris Wright,FNB Corporation Toyota,16.939,92.981,55,57,0.264
9,136,4,25,Toni Breidinger,VMS Toyota,17.147,91.853,47,48,0.472
9,114,5,6,Lavar Scott*,Max Siegel Inc Chevrolet,17.182,91.666,46,48,0.507
9,154,6,20,Sean Hingorani*,VMS Toyota,17.317,90.951,15,64,0.642
9,111,7,2,Andres Perez,Max Siegel Inc Chevrolet,17.322,90.925,4,50,0.647
9,102,8,35,Greg Van Alst,CB Fabricating/Top Choice Fence Ford,17.38,90.621,58,59,0.705
9,108,9,22,Amber Balcaen,ICON Toyota,17.563,89.677,40,41,0.888
