race_id,driver_id,BestLapRank,Number,FullName,Sponsor,BestLapTime,BestLapSpeed,InLap,Laps,Diff
32,160,8,3,Kyle Keller,Central Coast Cabinets Toyota,13.9,86.245,2,2,0.139
32,254,9,71,Rip Michels,Jans Towing Ford,13.961,85.868,2,2,0.2
32,253,10,21,Ethan Nascimento,Impact Trans-Nascimento-Davids Racing Prod-Paul Cardoso Toyota,13.979,85.757,1,2,0.218
32,256,11,12,Joey Kennealy,STS-American Swim Academy-Converease Chevrolet,14.023,85.488,1,2,0.262
32,144,12,7,Takuma Koga,Yamada Toyota,14.056,85.287,2,2,0.295
32,162,13,19,"Eric Johnson, Jr.",Pacific Office Automation Chevrolet,14.062,85.251,2,2,0.301
32,247,14,9,Michael Killen,Jan’s Towing Ford,14.197,84.44,2,2,0.436
32,166,15,5,David Smith,Shockwave Marine Suspension Seating Toyota,14.536,82.471,2,2,0.775
33,154,1,15,Sean Hingorani,Fidelity Capital Toyta,18.218,98.803,,,0
33,254,2,71,Rip Michels,Jan’s Towing Ford,18.298,98.371,,,0.08
33,230,3,5,Kole Raz,Cyclum Renewable Truck Stops Toyota,18.371,97.981,,,0.153
33,258,4,17,Buddy Shepherd,H&S Bodyworks & Towing Chevrolet,18.371,97.981,,,0.153
33,157,5,13,Tyler Reif,Central Coast Cabinets Toyota,18.391,97.874,,,0.173
33,156,6,16,Jack Wood,NAPA Auto Care Chevrolet,18.462,97.498,,,0.244
33,246,7,23,Jaron Giannini,VersaTile and Stone/SPS/GMS Fabrication Toyota,18.464,97.487,,,0.246
33,257,8,42,Spencer Davis,MMI-Sunwest Construction Chevrolet,18.514,97.224,,,0.296
33,159,9,50,Trevor Huddleston,High Point Racing/Racecar Factory Ford,18.526,97.161,,,0.308
33,182,10,20,Brent Crews,JBL Toyota,18.616,96.691,,,0.398
33,160,11,9,Kyle Keller,Jans Towing-Las Vegas Rentals Ford,18.72,96.154,,,0.502
33,235,12,6,Henry Barton,Turn One io Toyota,18.743,96.036,,,0.525
33,161,13,3,Todd Souza,Central Coast Cabinets Toyota,18.745,96.026,,,0.527
33,231,14,4,"Eric Nascimento, Jr.",Impact Trans/Nascimento-Joiner Mtrpsrts Chevrolet,18.754,95.98,,,0.536
33,155,15,55,Isabella Robusto,Mobil 1 Toyota,18.773,95.882,,,0.555
